symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
TTM,2018-10-01 00:00:00+00:00,15.57,15.76,15.5,15.68,1261243,15.57,15.76,15.5,15.68,1261243,0.0,1.0
TTM,2018-10-02 00:00:00+00:00,15.52,15.7,15.43,15.65,1118683,15.52,15.7,15.43,15.65,1118683,0.0,1.0
TTM,2018-10-03 00:00:00+00:00,15.38,15.58,15.33,15.5,917886,15.38,15.58,15.33,15.5,917886,0.0,1.0
TTM,2018-10-04 00:00:00+00:00,14.93,15.26,14.82,15.26,1977704,14.93,15.26,14.82,15.26,1977704,0.0,1.0
TTM,2018-10-05 00:00:00+00:00,14.52,14.7,14.23,14.7,2157804,14.52,14.7,14.23,14.7,2157804,0.0,1.0
TTM,2018-10-08 00:00:00+00:00,14.36,14.51,14.26,14.41,1569592,14.36,14.51,14.26,14.41,1569592,0.0,1.0
TTM,2018-10-09 00:00:00+00:00,12.78,12.9,12.49,12.49,5392200,12.78,12.9,12.49,12.49,5392200,0.0,1.0
TTM,2018-10-10 00:00:00+00:00,12.18,12.88,12.17,12.85,3522774,12.18,12.88,12.17,12.85,3522774,0.0,1.0
TTM,2018-10-11 00:00:00+00:00,12.08,12.27,11.91,12.25,4254372,12.08,12.27,11.91,12.25,4254372,0.0,1.0
TTM,2018-10-12 00:00:00+00:00,12.37,12.56,12.2,12.47,3775747,12.37,12.56,12.2,12.47,3775747,0.0,1.0
TTM,2018-10-15 00:00:00+00:00,12.47,12.57,12.3,12.49,2767367,12.47,12.57,12.3,12.49,2767367,0.0,1.0
TTM,2018-10-16 00:00:00+00:00,12.65,12.67,12.5,12.5,2476941,12.65,12.67,12.5,12.5,2476941,0.0,1.0
TTM,2018-10-17 00:00:00+00:00,12.06,12.35,11.97,12.34,2314963,12.06,12.35,11.97,12.34,2314963,0.0,1.0
TTM,2018-10-18 00:00:00+00:00,11.84,12.06,11.77,12.05,1891745,11.84,12.06,11.77,12.05,1891745,0.0,1.0
TTM,2018-10-19 00:00:00+00:00,11.89,11.9,11.65,11.75,1768621,11.89,11.9,11.65,11.75,1768621,0.0,1.0
TTM,2018-10-22 00:00:00+00:00,11.61,11.84,11.49,11.76,1247448,11.61,11.84,11.49,11.76,1247448,0.0,1.0
TTM,2018-10-23 00:00:00+00:00,11.87,11.99,11.47,11.51,2181092,11.87,11.99,11.47,11.51,2181092,0.0,1.0
TTM,2018-10-24 00:00:00+00:00,11.39,11.73,11.38,11.72,1751626,11.39,11.73,11.38,11.72,1751626,0.0,1.0
TTM,2018-10-25 00:00:00+00:00,11.67,11.74,11.35,11.59,1960571,11.67,11.74,11.35,11.59,1960571,0.0,1.0
TTM,2018-10-26 00:00:00+00:00,11.59,11.75,11.45,11.48,1595900,11.59,11.75,11.45,11.48,1595900,0.0,1.0
TTM,2018-10-29 00:00:00+00:00,11.92,12.48,11.76,12.1,3824982,11.92,12.48,11.76,12.1,3824982,0.0,1.0
TTM,2018-10-30 00:00:00+00:00,12.09,12.26,11.93,12.0,1856203,12.09,12.26,11.93,12.0,1856203,0.0,1.0
TTM,2018-10-31 00:00:00+00:00,12.21,12.49,12.06,12.24,1473575,12.21,12.49,12.06,12.24,1473575,0.0,1.0
TTM,2018-11-01 00:00:00+00:00,12.65,12.68,12.2,12.33,2699073,12.65,12.68,12.2,12.33,2699073,0.0,1.0
TTM,2018-11-02 00:00:00+00:00,12.76,12.99,12.69,12.99,1996600,12.76,12.99,12.69,12.99,1996600,0.0,1.0
TTM,2018-11-05 00:00:00+00:00,12.93,13.06,12.81,12.89,1451673,12.93,13.06,12.81,12.89,1451673,0.0,1.0
TTM,2018-11-06 00:00:00+00:00,13.01,13.21,12.95,13.03,1916000,13.01,13.21,12.95,13.03,1916000,0.0,1.0
TTM,2018-11-07 00:00:00+00:00,13.18,13.22,12.94,13.15,1216782,13.18,13.22,12.94,13.15,1216782,0.0,1.0
TTM,2018-11-08 00:00:00+00:00,13.05,13.25,13.03,13.14,1738248,13.05,13.25,13.03,13.14,1738248,0.0,1.0
TTM,2018-11-09 00:00:00+00:00,13.11,13.28,12.99,13.16,1883424,13.11,13.28,12.99,13.16,1883424,0.0,1.0
TTM,2018-11-12 00:00:00+00:00,12.12,12.67,12.06,12.67,4041051,12.12,12.67,12.06,12.67,4041051,0.0,1.0
TTM,2018-11-13 00:00:00+00:00,12.18,12.47,12.12,12.25,3617914,12.18,12.47,12.12,12.25,3617914,0.0,1.0
TTM,2018-11-14 00:00:00+00:00,12.26,12.34,12.02,12.18,1654598,12.26,12.34,12.02,12.18,1654598,0.0,1.0
TTM,2018-11-15 00:00:00+00:00,12.57,12.74,12.17,12.19,2574919,12.57,12.74,12.17,12.19,2574919,0.0,1.0
TTM,2018-11-16 00:00:00+00:00,12.56,12.62,12.33,12.39,1634419,12.56,12.62,12.33,12.39,1634419,0.0,1.0
TTM,2018-11-19 00:00:00+00:00,12.79,13.03,12.64,12.64,1605909,12.79,13.03,12.64,12.64,1605909,0.0,1.0
TTM,2018-11-20 00:00:00+00:00,12.62,12.73,12.52,12.65,1680805,12.62,12.73,12.52,12.65,1680805,0.0,1.0
TTM,2018-11-21 00:00:00+00:00,13.02,13.08,12.77,12.8,1209681,13.02,13.08,12.77,12.8,1209681,0.0,1.0
TTM,2018-11-23 00:00:00+00:00,12.89,12.95,12.78,12.92,411206,12.89,12.95,12.78,12.92,411206,0.0,1.0
TTM,2018-11-26 00:00:00+00:00,12.85,12.93,12.75,12.91,915347,12.85,12.93,12.75,12.91,915347,0.0,1.0
TTM,2018-11-27 00:00:00+00:00,12.66,12.73,12.49,12.73,1037191,12.66,12.73,12.49,12.73,1037191,0.0,1.0
TTM,2018-11-28 00:00:00+00:00,12.51,12.51,12.09,12.41,1845945,12.51,12.51,12.09,12.41,1845945,0.0,1.0
TTM,2018-11-29 00:00:00+00:00,12.47,12.65,12.13,12.52,1894826,12.47,12.65,12.13,12.52,1894826,0.0,1.0
TTM,2018-11-30 00:00:00+00:00,12.2,12.29,12.09,12.28,1489614,12.2,12.29,12.09,12.28,1489614,0.0,1.0
